"Z","element","CI","CM","Co","CV","H","L","LL","EH","EL"
60,"Nd",4.57E-07,6.31E-07,7.72E-07,9.9E-07,6.28E-07,6.82E-07,6.59E-07,4.6E-07,2.33E-07
62,"Sm",1.49E-07,2E-07,2.4E-07,2.95E-07,1.85E-07,1.95E-07,2E-07,1.4E-07,1.35E-07
63,"Eu",5.6E-08,7.6E-08,9.4E-08,1.13E-07,7.3E-08,7.8E-08,7.6E-08,5.4E-08,5.4E-08
64,"Gd",1.97E-07,2.76E-07,3.37E-07,4.15E-07,2.99E-07,3.1E-07,3.03E-07,2.14E-07,1.07E-07
65,"Tb",3.55E-08,4.7E-08,5.7E-08,6.5E-08,5.3E-08,5.7E-08,4.8E-08,3.5E-08,0
66,"Dy",2.45E-07,3.3E-07,4.04E-07,4.75E-07,3.43E-07,3.66E-07,3.51E-07,2.4E-07,1.39E-07
67,"Ho",5.47E-08,7.7E-08,9.4E-08,1.1E-07,7.3E-08,8.1E-08,7.7E-08,5E-08,0
68,"Er",1.6E-07,2.18E-07,2.66E-07,3.15E-07,2.26E-07,2.48E-07,2.34E-07,1.66E-07,9.7E-08
69,"Tm",2.47E-08,3.3E-08,4E-08,4.5E-08,3.9E-08,3.9E-08,3.4E-08,2.5E-08,0
70,"Yb",1.59E-07,2.22E-07,2.7E-07,3.22E-07,2.05E-07,2.2E-07,2.2E-07,1.6E-07,1.65E-07
71,"Lu",2.45E-08,3.3E-08,4E-08,4.8E-08,3.1E-08,3.3E-08,3.3E-08,2.4E-08,2.4E-08
72,"Hf",1.2E-07,1.86E-07,1.78E-07,1.94E-07,1.8E-07,1.7E-07,1.5E-07,1.4E-07,1.5E-07
73,"Ta",1.6E-08,2.2E-08,2.7E-08,3.2E-08,2.2E-08,2.3E-08,2.2E-08,1.5E-08,0
74,"W ",1E-07,1.4E-07,1.6E-07,1.9E-07,1.6E-07,1.1E-07,0,0,0
75,"Re",3.7E-08,4.6E-08,5.5E-08,6.5E-08,7E-08,4E-08,3.3E-08,5.2E-08,4.7E-08
76,"Os",4.9E-07,6.4E-07,7.9E-07,8.25E-07,8.2E-07,5.15E-07,4E-07,6.54E-07,5.89E-07
77,"Ir",4.6E-07,5.95E-07,7.35E-07,7.6E-07,7.6E-07,4.9E-07,3.6E-07,5.65E-07,5.25E-07
78,"Pt",9.9E-07,1.1E-06,1.2E-06,1.25E-06,1.4E-06,1.05E-06,8.5E-07,1.2E-06,0
79,"Au",1.44E-07,1.65E-07,1.84E-07,1.44E-07,2.15E-07,1.62E-07,1.4E-07,3.3E-07,2.25E-07
80,"Hg",3.9E-07,0,0,0,0,0,0,0,0
81,"Tl",1.42E-07,9.2E-08,4.2E-08,4.6E-08,3.7E-09,2E-09,7.2E-09,1.03E-07,5E-09
82,"Pb",2.4E-06,1.7E-06,2.2E-06,1.4E-06,2.4E-07,3.7E-07,0,1.1E-07,0
83,"Bi",1.1E-07,7.5E-08,3.3E-08,4.8E-08,1.7E-08,1.4E-08,1.6E-08,8.8E-08,1.2E-08
90,"Th",2.9E-08,4E-08,4.5E-08,6E-08,4.2E-08,4.3E-08,4.3E-08,3E-08,3.5E-08
92,"U ",8.2E-09,1.1E-08,1.3E-08,1.7E-08,1.2E-08,1.3E-08,1.3E-08,9E-09,1E-08
